stopid,TimeFall,TimeSpring
37->41,64.1932,62.6769
36->30,60.792,61.77
4->6,143.8237,109.0293
6->8,75.2254,77.973
1->4,139.4623,131.2574
41->1,109.2521,107.1215
67->39,941.5131,866.6018
38->37,48.7835,49.4497
39->38,56.7241,54.2388
12->13,85.2811,79.6799
34->35,70.861,69.3845
13->14,68.5085,65.2966
14->36,80.735,73.0806
10->11,67.7222,67.6214
11->12,105.3034,104.0823
30->34,52.9076,51.369
35->67,79.7832,72.2892
8->10,94.3561,91.3619
