day,busid,to67,from67,to39,from39,to38,from38,to37,from37,to41,from41,to1,from1,to4,from4,to6,from6,to8,from8,to10,from10,to11,from11,to12,from12,to13,from13,to14,from14,to36,from36,to30,from30,to34,from34,to35,from352014-08-25,636,10:00:14,10:00:18,10:22:06,10:22:33,10:23:06,10:23:44,10:24:01,10:24:44,10:25:03,10:25:38,10:26:29,10:27:15,10:28:19,10:28:59,10:29:48,10:30:26,10:30:51,10:31:29,10:32:38,10:33:14,10:33:36,10:34:11,10:34:56,10:35:38,10:36:21,10:36:50,10:37:08,10:37:42,10:38:57,10:39:32,10:39:49,10:40:19,10:40:34,10:40:41,10:41:03,10:41:10
2014-08-28,636,11:29:06,11:29:12,11:51:14,11:51:23,11:51:50,11:52:00,11:52:15,11:52:55,11:53:19,11:53:51,11:54:32,11:55:17,11:56:16,11:56:31,11:58:30,11:59:06,11:59:30,12:00:06,12:01:09,12:01:40,12:02:03,12:02:40,12:03:31,12:04:13,12:04:40,12:05:01,12:05:14,12:05:43,12:06:44,12:07:19,12:07:34,12:08:05,12:08:20,12:08:46,12:09:42,12:10:05
2014-08-28,636,12:10:56,12:11:00,12:34:47,12:35:29,12:36:04,12:36:18,12:36:37,12:36:50,12:37:18,12:38:24,12:40:32,12:41:17,12:44:22,12:45:30,12:47:29,12:48:20,12:48:48,12:49:47,12:51:01,12:51:49,12:52:16,12:53:43,12:59:36,13:01:59,13:02:32,13:03:03,13:03:16,13:03:37,13:04:09,13:04:39,13:04:47,13:05:21,13:05:36,13:06:07,13:06:37,13:07:03
2014-08-28,636,13:07:55,13:08:01,13:13:30,13:13:37,13:14:44,13:15:14,13:15:29,13:16:06,13:16:32,13:17:00,13:18:14,13:18:56,13:20:15,13:20:46,13:21:33,13:22:10,13:22:33,13:23:00,13:23:57,13:24:32,13:24:53,13:25:27,13:26:15,13:26:46,13:27:22,13:27:47,13:27:59,13:28:24,13:29:23,13:29:36,13:29:54,13:30:34,13:30:57,13:31:27,13:32:23,13:32:54
2014-08-28,636,13:34:03,13:34:07,13:59:42,14:00:06,14:00:31,14:01:13,14:01:31,14:03:56,14:04:22,14:06:14,14:07:11,14:08:54,14:12:24,14:14:33,14:15:26,14:17:11,14:18:10,14:21:00,14:22:21,14:23:36,14:24:01,14:24:48,14:29:38,14:31:02,14:31:38,14:32:39,14:34:23,14:36:01,14:36:50,14:37:55,14:38:04,14:39:14,14:39:30,14:40:05,14:40:32,14:41:00
2014-08-28,636,14:41:57,14:42:02,14:44:35,14:44:45,14:45:45,14:46:18,14:46:35,14:47:08,14:47:26,14:47:51,14:48:20,14:49:18,14:50:14,14:50:48,14:52:02,14:52:46,14:53:09,14:53:48,14:54:45,14:55:19,14:55:41,14:56:20,14:57:02,14:57:46,14:58:10,14:58:45,14:58:55,14:59:21,14:59:56,15:00:28,15:00:43,15:01:13,15:01:26,15:01:33,15:01:56,15:02:22
2014-08-28,636,15:03:16,15:03:20,15:27:25,15:27:48,15:28:41,15:29:27,15:29:44,15:30:56,15:31:21,15:31:56,15:33:19,15:34:34,15:35:23,15:36:06,15:37:03,15:38:36,15:39:27,15:42:08,15:43:05,15:44:26,15:44:57,15:46:38,15:49:52,15:52:03,15:52:39,15:54:14,15:56:18,15:58:11,16:01:15,16:03:32,16:03:36,16:04:36,16:04:57,16:05:39,16:06:44,16:07:20
2014-08-28,636,16:08:28,16:08:34,16:47:25,16:47:50,16:48:22,16:48:53,16:49:10,16:49:39,16:50:02,16:50:34,16:51:44,16:52:32,16:53:28,16:54:09,16:56:07,16:56:59,16:57:35,16:58:22,16:58:58,16:59:38,16:59:59,17:00:38,17:01:25,17:02:13,17:02:44,17:03:44,17:03:58,17:04:47,17:05:50,17:07:06,17:07:26,17:08:19,17:08:35,17:09:05,17:09:40,17:10:10
2014-08-28,636,17:11:12,17:11:17,17:23:39,17:24:05,17:24:54,17:25:29,17:25:45,17:25:58,17:26:24,17:27:00,17:29:48,17:30:21,17:36:37,17:37:12,17:39:10,17:39:39,17:40:06,17:41:53,17:43:14,17:43:54,17:44:18,17:44:42,17:46:24,17:48:00,17:48:38,17:49:22,17:49:35,17:50:20,17:52:09,17:52:19,17:52:36,17:53:15,17:53:31,17:54:16,17:54:48,17:55:20
2014-08-28,636,17:56:16,17:56:20,18:07:40,18:08:04,18:08:26,18:09:00,18:09:16,18:09:52,18:10:13,18:10:39,18:11:35,18:12:20,18:13:27,18:14:08,18:15:15,18:15:49,18:16:12,18:16:44,18:17:14,18:18:14,18:18:34,18:19:12,18:20:08,18:20:53,18:21:22,18:21:42,18:21:57,18:22:43,18:23:40,18:24:08,18:24:24,18:25:01,18:25:16,18:25:46,18:26:39,18:26:45
2014-08-28,636,18:27:34,18:27:39,09:37:00,09:37:28,09:37:53,09:38:27,09:38:43,09:39:22,09:39:40,09:40:15,09:40:58,09:41:29,09:42:23,09:42:53,09:44:28,09:45:02,09:45:32,09:46:10,09:46:43,09:47:29,09:47:52,09:48:18,09:49:02,09:49:36,09:50:04,09:50:36,09:50:49,09:51:14,09:51:58,09:52:43,09:53:03,09:53:27,09:53:42,09:54:07,09:55:03,09:55:11
2014-09-02,636,09:56:07,09:56:13,10:22:30,10:22:37,10:23:08,10:23:34,10:23:51,10:24:24,10:24:44,10:25:16,10:26:14,10:26:49,10:27:44,10:28:16,10:29:47,10:30:20,10:31:03,10:31:40,10:32:42,10:33:14,10:33:34,10:33:59,10:34:50,10:35:24,10:35:53,10:36:50,10:37:02,10:37:31,10:38:12,10:38:14,10:39:03,10:39:39,10:39:56,10:40:26,10:41:00,10:41:10
2014-09-02,636,10:42:01,10:42:06,11:01:55,11:02:20,11:02:42,11:02:52,11:03:07,11:03:41,11:04:09,11:04:46,11:06:38,11:07:36,11:14:15,11:14:41,11:15:46,11:16:17,11:16:50,11:17:13,11:18:50,11:19:24,11:19:46,11:20:27,11:21:16,11:21:49,11:22:15,11:22:45,11:22:57,11:23:21,11:23:53,11:24:04,11:24:26,11:24:53,11:25:07,11:25:26,11:26:07,11:26:32
2014-09-02,636,11:27:12,11:47:42,11:51:17,11:51:46,11:52:10,11:52:43,11:53:00,11:53:35,11:53:52,11:54:23,11:55:18,11:55:58,11:56:51,11:57:16,11:58:21,11:58:52,11:59:18,11:59:56,12:00:32,12:01:33,12:01:54,12:02:28,12:03:21,12:03:56,12:04:23,12:04:58,12:05:11,12:05:34,12:06:17,12:06:48,12:07:07,12:07:43,12:07:58,12:08:25,12:09:04,12:09:25
2014-09-02,636,12:10:19,12:10:23,12:35:37,12:36:08,12:36:35,12:37:58,12:38:17,12:38:30,12:39:08,12:40:27,12:42:55,12:44:46,12:53:25,12:54:28,12:55:45,12:56:58,12:58:34,13:00:00,13:00:43,13:01:47,13:02:19,13:02:55,13:06:02,13:07:48,13:09:36,13:10:53,13:11:09,13:11:44,13:12:37,13:13:09,13:13:09,13:13:44,13:14:00,13:14:27,13:14:59,13:15:21
2014-09-02,636,13:16:16,13:16:20,13:59:36,14:00:05,14:00:31,14:01:09,14:01:27,14:03:24,14:03:46,14:05:20,14:06:11,14:08:47,14:10:29,14:11:48,14:12:35,14:13:56,14:14:39,14:16:17,14:16:54,14:17:42,14:18:08,14:19:22,14:25:20,14:27:08,14:29:59,14:31:02,14:31:26,14:31:44,14:35:03,14:35:14,14:35:22,14:36:55,14:37:11,14:38:15,14:38:50,14:39:50
