day,busid,to118,from118,to64,from64,to78,from78,to76,from76
2014-10-16,636,,32,55,48,84,34,789,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,580,38,57,28,58,41,357,632,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,948,19,54,40,69,26,783,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,438,50,75,61,93,40,356,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1115,39,59,60,100,34,360,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1340,30,49,44,80,13,1075,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,442,35,58,38,112,1,336,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1105,43,65,99,134,53,561,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1010,73,144,40,78,32,348,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,957,69,72,22,67,36,391,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1043,33,53,54,91,54,443,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1473,84,143,205,239,43,425,360,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,655,36,63,66,106,32,388,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1059,22,42,43,76,23,332,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1180,33,56,53,88,32,345,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1308,78,162,69,86,30,400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1140,40,65,38,70,34,345,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1197,51,78,78,113,34,503,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1111,63,97,75,110,34,451,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,737,43,65,43,74,37,363,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1106,34,56,62,95,39,338,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1165,43,69,140,183,46,446,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,1207,88,139,32,62,33,431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,852,35,59,39,74,45,439,552,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,955,51,73,63,98,41,427,488,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,832,47,70,73,104,25,396,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-16,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,,41,67,59,84,35,300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1373,29,49,37,61,13,228,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1357,82,171,98,129,34,324,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,944,18,40,42,67,27,300,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1273,61,82,65,99,35,268,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1139,42,83,22,51,20,260,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1179,26,46,62,86,28,330,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1229,79,114,70,94,27,339,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1346,34,54,54,82,28,343,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1169,70,113,160,188,32,392,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,2566,35,55,77,111,36,341,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1137,42,66,43,72,34,338,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1360,21,44,69,97,31,342,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1193,38,61,71,99,33,367,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1062,53,81,51,82,42,330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1133,33,68,63,92,33,321,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1118,37,58,84,112,37,449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1249,74,127,164,195,15,316,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,1014,36,59,50,82,46,463,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,,61,85,71,105,37,331,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1222,42,69,83,121,30,316,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1193,41,71,108,163,22,370,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,935,39,62,74,103,18,324,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1216,78,120,99,137,42,342,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1008,59,80,43,75,31,266,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1108,44,70,54,86,29,347,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1132,113,205,99,135,43,334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1317,43,71,68,99,34,358,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1081,8,53,188,235,37,332,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,2619,42,64,116,159,41,366,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1070,38,84,25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1391,26,60,37,65,31,326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1175,39,64,84,115,30,353,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,1082,52,82,31,60,28,376,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,637,,22,46,46,78,14,812,212,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,637,506,22,56,54,90,34,840,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,637,512,36,62,43,72,32,746,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,637,510,56,100,79,112,46,934,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,637,450,56,78,58,86,38,394,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-28,637,,46,70,42,72,32,372,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
