day,busid,Travelto48,Dwell48,Travelto60,Dwell60,Travelto50,Dwell50,Travelto51,Dwell51,Travelto52,Dwell52,Travelto45,Dwell45,Travelto46,Dwell46,Travelto6,Dwell6,Travelto8,Dwell8,Travelto10,Dwell10,Travelto11,Dwell11,Travelto12,Dwell12,Travelto13,Dwell13,Travelto14,Dwell14,Travelto1,Dwell1,Travelto55,Dwell55,Travelto57,Dwell57,Travelto58,Dwell58,Travelto59,Dwell59,Travelto107,Dwell107,Travelto61,Dwell61,Travelto62,Dwell62
2015-04-13,636,944,38,71,35,58,35,121,41,57,37,73,32,76,44,107,30,92,30,67,59,82,40,92,34,67,58,74,37,129,38,135,31,50,56,70,28,70,36,58,47,57,25,77,7
2015-02-03,638,686,32,44,32,50,32,78,56,68,38,64,44,128,42,92,32,56,60,104,28,52,52,324,71,106,74,86,30,64,30,122,24,40,34,44,26,62,34,72,30,38,8,24,28
2015-02-03,638,606,28,40,18,34,14,104,32,44,15,40,8,44,22,64,26,58,26,56,34,56,38,80,36,62,42,54,24,48,32,104,4,18,44,56,26,60,30,46,18,26,20,38,28
2015-02-03,638,1288,32,44,16,34,36,104,56,74,36,62,60,114,50,78,56,120,78,130,64,94,58,152,107,162,79,148,67,325,44,258,35,51,50,60,38,72,34,52,16,24,10,26,32
2015-02-03,638,214,10,20,26,44,14,82,28,41,13,39,8,42,20,46,26,57,23,105,32,54,32,74,30,54,52,64,10,64,30,98,24,40,44,56,28,68,30,46,14,22,20,36,20
2015-02-03,638,1240,12,24,42,58,14,86,38,50,16,46,32,96,32,104,34,66,42,102,34,56,76,126,60,88,66,82,36,160,54,146,38,59,36,48,42,82,32,52,42,50,24,42,18
2015-02-03,638,793,13,33,14,30,40,92,34,46,18,46,36,142,38,70,32,60,28,84,14,44,33,74,32,58,30,40,26,94,30,108,22,39,31,41,36,104,14,30,34,42,10,26,32
2015-02-03,638,1118,8,20,14,32,30,80,32,44,20,46,30,84,174,214,54,108,36,70,28,52,40,84,40,74,46,60,32,82,36,116,28,46,60,72,47,84,39,60,40,50,24,44,32
2015-02-03,638,802,12,28,36,62,48,106,56,80,46,76,58,112,50,174,38,80,76,206,46,72,76,142,82,124,90,104,36,194,71,206,34,52,44,56,44,134,42,60,28,38,26,44,38
2015-02-03,638,492,28,44,46,74,38,88,40,58,30,64,37,107,32,120,29,60,28,67,48,78,25,83,38,68,59,73,26,62,46,138,39,64,18,32,45,78,29,55,25,35,26,47,38
2015-02-03,638,676,9,21,18,38,34,90,42,58,43,81,30,94,52,103,35,65,53,92,38,59,46,456,180,220,58,72,28,78,78,250,34,56,46,58,42,84,36,56,32,40,24,40,60
2015-03-30,638,440,10,24,34,50,28,110,48,58,18,44,38,106,32,58,26,,,,52,76,36,86,32,56,74,92,44,100,26,102,6,22,52,62,24,120,28,46,28,38,8,26,32
2015-03-30,638,974,10,24,20,38,16,48,32,42,42,68,28,76,30,104,26,52,32,84,16,54,34,82,34,66,64,74,22,64,16,122,24,42,20,32,12,46,30,47,27,35,10,28,30
2015-03-30,638,1176,26,40,34,52,38,96,64,80,32,60,56,140,70,158,30,56,56,100,68,106,100,198,99,166,74,135,6,274,33,173,28,46,38,48,34,90,32,48,18,26,27,44,30
2015-03-30,638,256,26,40,20,38,14,114,30,40,28,58,8,76,18,78,24,56,38,92,30,70,42,88,42,68,46,58,14,88,30,104,22,42,30,42,36,74,12,30,20,30,25,40,27
2015-03-30,638,1074,8,22,20,38,34,132,46,56,16,45,23,61,36,112,40,76,52,102,38,64,46,104,45,114,76,90,30,224,38,134,31,48,40,52,38,74,30,56,26,34,23,40,34
2015-03-30,638,718,30,102,24,40,30,64,40,52,28,56,34,116,26,72,28,52,30,84,36,58,28,82,38,68,44,56,26,98,32,178,30,51,35,45,30,66,38,54,26,36,8,26,32
2015-03-30,638,948,8,22,30,48,14,52,30,42,20,46,30,76,26,92,24,46,27,94,30,52,38,86,34,58,14,26,6,98,26,142,26,44,56,66,32,67,29,45,26,36,24,42,40
2015-03-30,638,1123,9,25,32,50,35,117,45,57,31,64,43,149,39,94,31,127,51,137,55,77,38,98,54,94,79,98,27,136,31,345,31,49,48,57,31,63,34,50,20,28,10,28,46
2015-03-30,638,444,10,24,30,50,13,50,38,55,34,62,30,91,28,104,28,98,34,92,45,68,37,100,42,72,54,66,23,66,30,110,24,42,42,52,38,122,32,50,21,28,32,50,40
2015-03-30,638,952,26,40,20,40,12,110,36,44,35,60,52,112,32,100,32,94,36,66,54,78,36,95,59,87,62,78,38,262,60,172,30,48,38,50,28,88,37,52,30,38,24,66,20
2015-02-02,640,720,34,50,40,66,38,84,50,64,34,68,44,182,34,102,36,68,46,112,30,58,34,96,30,62,36,52,8,48,28,124,8,28,25,38,32,122,16,56,54,66,14,92,20
2015-02-02,640,732,30,46,40,64,44,82,53,66,34,67,43,87,34,66,30,60,56,96,36,66,42,98,28,60,23,36,38,112,30,142,8,28,38,50,32,78,16,40,20,30,10,34,18
2015-02-02,640,1012,12,26,44,74,48,118,52,68,18,52,62,110,6,52,34,66,52,116,80,104,38,92,42,72,32,46,36,86,46,134,30,52,22,36,32,72,14,38,30,38,24,50,24
2015-02-02,640,880,34,48,38,62,40,100,80,94,38,68,42,80,28,60,52,82,88,130,58,82,54,112,46,76,48,62,46,98,34,146,36,54,40,52,46,86,32,52,30,40,10,30,24
2015-02-02,640,784,30,44,32,56,40,88,48,62,18,52,44,86,26,94,26,60,42,114,32,58,38,88,30,60,52,66,32,90,46,136,26,48,24,39,29,67,30,52,36,46,10,33,27
2015-02-02,640,955,12,28,32,54,40,88,50,64,24,54,44,86,10,104,30,66,48,122,32,58,28,82,34,66,48,64,28,58,28,132,24,44,36,48,38,106,34,56,26,36,24,46,31
2015-02-02,640,934,30,46,34,58,48,96,61,75,38,72,42,90,34,62,35,61,46,87,41,69,33,88,40,72,54,72,50,86,34,130,15,34,35,51,33,137,34,53,29,40,26,46,35
2015-02-02,640,889,28,43,34,57,37,115,64,78,34,66,44,124,34,66,36,63,50,93,95,133,89,146,114,148,54,70,68,137,55,188,39,59,38,51,37,104,33,53,24,33,27,49,28
2015-02-02,640,506,32,50,39,62,44,126,50,64,60,90,56,96,62,176,54,86,62,106,42,66,36,132,48,78,44,66,54,120,40,122,29,46,38,50,40,106,14,34,20,28,26,48,16
2015-02-02,640,654,30,44,22,44,36,132,42,56,36,68,36,91,33,117,38,66,38,76,32,56,42,96,44,83,57,69,36,96,40,128,24,44,34,48,32,82,16,36,20,28,9,32,26
2015-02-02,640,906,10,26,26,52,40,110,36,50,22,52,28,68,24,98,30,86,48,118,54,80,62,124,50,84,28,44,28,92,30,160,26,44,20,36,36,86,44,66,18,28,10,32,18
2015-02-02,640,882,32,46,22,44,32,102,46,60,16,58,34,74,42,132,36,66,48,96,40,66,46,104,69,100,40,62,80,142,46,164,28,46,42,56,36,76,36,58,18,28,30,50,32
2015-02-02,640,752,10,20,44,66,32,82,42,56,41,70,42,94,44,123,37,65,50,102,38,58,44,88,60,92,84,98,32,90,66,163,41,59,56,68,40,126,40,64,28,38,26,46,34
