day,busid,Travelto118,Dwell118,Travelto64,Dwell64,Travelto78,Dwell78,Travelto76,Dwell76
2015-04-27,638,397,50,76,66,97,36,368,50
2015-04-27,638,,,,,,,,187
2015-04-27,638,584,46,78,61,88,32,372,43
2015-04-27,638,,,,,,,,199
2015-04-27,638,489,43,65,82,119,45,326,1
2015-04-27,638,,,,,,,,232
2015-04-27,638,,,,,,,,232
2015-04-27,638,508,51,75,42,76,40,303,1
2015-04-27,638,,,,,,,,205
2015-04-27,638,510,53,93,108,153,43,443,10
2015-04-27,638,,,,,,,,221
2015-04-27,638,533,40,64,43,79,43,339,43
2015-04-27,638,,,,,,,,189
2015-04-27,638,462,26,54,45,73,50,386,32
2015-04-27,638,,,,,,,,180
2015-04-27,638,565,52,77,71,101,51,391,2
2015-04-27,638,,,,,,,,94
2015-04-27,638,446,37,60,48,76,21,368,11
2015-04-27,638,,,,,,,,110
2015-04-27,638,431,,,,,,,
2015-04-27,638,432,44,67,59,90,36,409,41
2015-04-27,638,,,,,,,,91
2015-04-27,638,369,36,59,56,83,43,401,11
2015-04-27,638,,,,,,,,112
2015-04-27,638,408,43,65,67,102,39,419,14
2015-04-27,638,,,,,,,,68
2015-04-27,638,389,26,47,42,76,37,385,43
2015-04-27,638,,,,,,,
2015-05-04,638,,56,76,63,89,30,344,1
2015-05-04,638,,,,,,,,29
2015-05-04,638,337,62,102,56,86,34,328,2
2015-05-04,638,,,,,,,,35
2015-05-04,638,366,18,71,26,57,35,328,1
2015-05-04,638,,,,,,,,59
2015-05-04,638,409,31,58,40,83,42,461,2
2015-05-04,638,,,,,,,,52
2015-05-04,638,364,45,70,59,88,40,342,2
2015-05-04,638,,,,,,,,55
2015-05-04,638,383,30,58,52,81,37,377,2
2015-05-04,638,,,,,,,,87
2015-05-04,638,362,43,67,35,62,14,307,1
2015-05-04,638,,,,,,,,169
2015-05-04,638,518,35,58,43,72,21,344,37
2015-05-04,638,,,,,,,,24
2015-05-04,638,318,33,57,38,68,36,379,37
2015-05-04,638,,,,,,,,40
2015-05-04,638,368,39,62,36,64,23,340,37
2015-05-04,638,,,,,,,,40
2015-05-04,638,310,23,46,37,72,47,419,39
2015-05-04,638,,,,,,,
2015-05-07,638,,87,134,61,93,38,367,2
2015-05-07,638,,,,,,,,141
2015-05-07,638,426,29,58,31,60,27,292,2
2015-05-07,638,,,,,,,,189
2015-05-07,638,458,41,66,46,81,32,402,5
2015-05-07,638,,,,,,,,75
2015-05-07,638,407,34,58,55,86,33,318,3
2015-05-07,638,,,,,,,,177
2015-05-07,638,467,54,80,58,93,32,488,13
2015-05-07,638,,,,,,,,239
2015-05-07,638,559,39,65,38,68,16,342,13
2015-05-07,638,,,,,,,,165
2015-05-07,638,525,36,61,28,58,16,366,2
2015-05-07,638,,,,,,,,158
2015-05-07,638,487,74,109,34,63,28,409,16
2015-05-07,638,,,,,,,,112
2015-05-07,638,386,48,70,31,61,36,412,1
2015-05-07,638,,,,,,,,131
2015-05-07,638,623,66,100,40,82,36,421,3
2015-05-07,638,,,,,,,,176
2015-05-07,638,507,28,77,32,60,31,337,3
2015-05-07,638,,,,,,,,150
2015-05-07,638,497,39,63,39,68,20,399,2
2015-05-07,638,,,,,,,,83
2015-05-07,638,368,38,62,58,96,42,444,3
2015-05-07,638,,,,,,,,185
2015-05-07,638,573,81,138,43,76,29,355,2
2015-05-07,638,,,,,,,,172
2015-05-07,638,538,115,170,42,72,29,467,1
2015-05-07,638,,,,,,,,58
2015-05-07,638,365,22,60,40,76,12,283,1
2015-05-07,638,,,,,,,,233
2015-05-07,638,559,47,71,39,69,16,403,14
2015-05-07,638,,,,,,,,206
2015-05-07,638,505,38,59,43,74,29,390,13
2015-05-07,638,,,,,,,,136
2015-05-07,638,420,34,55,27,59,13,373,14
2015-05-07,638,,,,,,,
2015-04-23,639,,39,60,93,124,31,348,1
2015-04-23,639,542,44,64,43,77,33,464,11
2015-04-23,639,,,,,,,,135
2015-04-23,639,458,44,66,68,103,34,381,17
2015-04-23,639,,,,,,,,45
2015-04-23,639,309,56,77,151,181,31,322,1
2015-04-23,639,,,,,,,,151
2015-04-23,639,546,51,75,102,135,37,432,296
2015-04-23,639,634,20,44,34,67,28,381,2
2015-04-23,639,,,,,,,,139
2015-04-23,639,437,39,58,42,73,31,363,3
2015-04-23,639,,,,,,,,46
2015-04-23,639,304,34,54,72,104,19,353,3
2015-04-23,639,,,,,,,,77
2015-04-23,639,361,81,102,75,113,41,485,1
2015-04-23,639,855,41,67,41,69,35,444,3
2015-04-23,639,,,,,,,,110
2015-04-23,639,357,40,62,31,63,32,340,3
2015-04-23,639,,,,,,,,123
2015-04-23,639,465,40,61,73,101,43,315,3
2015-04-23,639,,,,,,,,33
2015-04-23,639,310,41,71,34,64,30,352,3
2015-04-23,639,,,,,,,,209
2015-04-23,639,503,70,89,41,71,36,309,2
2015-04-23,639,,,,,,,,90
2015-04-23,639,373,28,54,54,86,37,390,2
2015-04-23,639,,,,,,,,35
2015-04-23,639,368,66,102,43,,,,
2015-04-23,639,,,,43,,,,
2015-04-23,639,,,,43,72,38,506,3
2015-04-23,639,,,,,,,,129
2015-04-23,639,400,31,51,50,76,28,436,43
2015-04-23,639,,,,,,,,36
2015-04-23,639,301,93,114,43,71,19,377,41
2015-04-23,639,,,,,,,,39
2015-04-23,639,395,40,64,61,87,42,535,1
2015-04-23,639,817,40,59,27,75,28,411,42
2015-04-23,639,,,,,,,
2015-01-20,640,,,,,,,,158
2015-01-20,640,582,56,84,68,108,36,430,46
2015-01-20,640,,,,,,,,200
2015-01-20,640,680,86,112,84,120,40,356,36
2015-01-20,640,,,,,,,,88
2015-01-20,640,478,74,104,58,94,30,386,50
2015-01-20,640,,,,,,,,126
2015-01-20,640,486,44,72,36,68,16,378,34
2015-01-20,640,,,,,,,,200
2015-01-20,640,663,74,110,187,232,44,392,380
2015-01-20,640,719,48,72,46,80,18,374,30
2015-01-20,640,,,,,,,,162
2015-01-20,640,512,30,56,36,66,28,314,40
2015-01-20,640,,,,,,,,142
2015-01-20,640,514,40,62,60,94,28,376,48
2015-01-20,640,,,,,,,,149
2015-01-20,640,658,90,138,103,140,33,446,2
2015-01-20,640,694,45,71,53,92,34,421,59
2015-01-20,640,,,,,,,,41
2015-01-20,640,277,32,53,42,75,13,321,12
2015-01-20,640,,,,,,,,108
2015-01-20,640,440,114,215,82,137,85,574,360
2015-01-20,640,808,72,170,34,64,38,394,14
2015-01-20,640,,,,,,,,150
2015-01-20,640,424,18,38,34,60,22,406,15
2015-01-20,640,,,,,,,,50
2015-01-20,640,410,38,76,68,112,38,412,542
2015-01-20,640,1042,112,140,84,112,40,422,442
2015-01-20,640,726,28,52,52,80,34,364,14
2015-01-20,640,,,,,,,,64
2015-01-20,640,374,50,108,42,72,20,378,14
2015-01-20,640,,,,,,,,116
2015-01-20,640,548,72,126,150,188,52,674,208
2015-01-20,640,648,50,70,54,88,34,460,20
2015-01-20,640,,,,,,,
2015-01-21,640,,,,,,,,332
2015-01-21,640,664,18,40,64,96,28,,
2015-01-21,640,,,,10,,,,420
2015-01-21,640,746,26,50,30,60,26,,322
2015-01-21,640,638,18,38,44,78,28,328,412
2015-01-21,640,774,52,72,70,104,32,708,428
2015-01-21,640,786,42,62,58,92,40,382,34
2015-01-21,640,,,,,,,,156
2015-01-21,640,466,45,67,62,100,26,312,13
2015-01-21,640,,,,,,,,152
2015-01-21,640,448,32,53,33,63,28,,200
2015-01-21,640,568,36,56,64,98,30,332,14
2015-01-21,640,,,,,,,,203
2015-01-21,640,580,60,91,45,74,30,321,34
2015-01-21,640,,,,,,,,186
2015-01-21,640,546,26,48,30,60,32,324,14
2015-01-21,640,,,,,,,,144
2015-01-21,640,486,34,64,122,164,37,348,2
2015-01-21,640,,,,,,,,274
2015-01-21,640,603,66,89,131,167,46,408,643
2015-01-21,640,942,44,81,48,80,28,454,14
2015-01-21,640,,,,,,,,134
2015-01-21,640,442,24,46,42,72,16,304,2
2015-01-21,640,,,,,,,,198
2015-01-21,640,534,32,54,48,82,32,372,2
2015-01-21,640,,,,,,,,158
2015-01-21,640,1035,57,87,124,154,18,358,462
2015-01-21,640,826,20,42,45,78,32,320,2
2015-01-21,640,,,,,,,,105
2015-01-21,640,442,54,81,163,195,14,348,2
2015-01-21,640,,,,,,,,179
2015-01-21,640,618,76,125,169,199,62,446,80
2015-01-21,640,,,,,,,,100
2015-01-21,640,400,34,58,50,78,44,346,2
2015-01-21,640,,,,,,,,136
2015-01-21,640,514,34,60,32,60,46,440,2
2015-01-21,640,,,,,,,,80
2015-01-21,640,386,46,64,66,96,64,624,78
2015-01-21,640,,,,,,,,102
2015-01-21,640,558,54,88,100,132,40,394,2
2015-01-21,640,968,24,50,42,74,14,368,2
2015-01-21,640,924,53,97,72,120,32,386,4
2015-01-21,640,789,49,83,56,95,41,406,1
2015-01-21,640,,,,,,,
2015-01-22,642,,46,72,72,102,34,468,14
2015-01-22,642,,,,,,,,169
2015-01-22,642,656,39,61,47,77,39,303,2
2015-01-22,642,,,,,,,,111
2015-01-22,642,437,34,56,48,81,14,328,36
2015-01-22,642,,,,,,,,104
2015-01-22,642,422,28,48,42,70,28,356,18
2015-01-22,642,,,,,,,,212
2015-01-22,642,613,97,147,127,165,67,497,339
2015-01-22,642,626,40,60,24,54,30,272,2
2015-01-22,642,,,,,,,,96
2015-01-22,642,378,12,32,32,58,12,338,30
2015-01-22,642,,,,,,,,112
2015-01-22,642,382,42,75,49,79,14,414,10
2015-01-22,642,,,,,,,,121
2015-01-22,642,719,74,121,80,112,29,450,2
2015-01-22,642,678,28,78,46,76,28,310,34
2015-01-22,642,,,,,,,,114
2015-01-22,642,418,50,78,30,58,14,296,2
2015-01-22,642,,,,,,,,103
2015-01-22,642,399,69,108,121,162,64,412,2
2015-01-22,642,902,42,86,34,62,32,330,2
2015-01-22,642,,,,,,,,122
2015-01-22,642,384,26,46,14,68,30,358,18
2015-01-22,642,,,,,,,,108
2015-01-22,642,442,52,72,76,112,36,410,676
2015-01-22,642,1034,57,81,74,104,16,452,16
2015-01-22,642,,,,,,,,46
