"Time","Num.Days","Avg.Var","Avg.Ridership","Avg.Var.Good.W","Avg.Ridership.Good.W","Avg.Var.Bad.W","Avg.Ridership.Bad.W"
07:39:00,4,7.145833333325,66,6.81666666665,60,7.475,72
07:46:00,4,0.220833333325,NA,-0.1166666667,NA,0.55833333335,NA
07:48:00,4,9.5416666667,NA,8.1166666667,NA,10.9666666667,NA
07:49:00,9,2.66666666665556,69.8888888888889,3.90277777776667,70.5,0.194444444433334,68.6666666666667
07:55:00,3,17.4777777777667,NA,17.4166666667,NA,17.5083333333,NA
07:56:00,9,-4.25,NA,-3.01666666666667,NA,-6.71666666666667,NA
07:58:00,18,2.6175925926,21,2.81153846154615,20.5714285714286,2.11333333334,22.5
08:05:00,18,3.13703703703889,NA,3.01153846154615,NA,3.46333333332,NA
08:07:00,9,1.85740740742222,NA,1.75000000001429,NA,2.23333333335,NA
08:10:00,37,5.32612612613243,23.2432432432432,4.87133333334,20.4,6.27361111111667,29.1666666666667
08:17:00,46,-1.18876811593478,NA,-1.46666666665937,NA,-0.553571428564286,NA
08:19:00,36,15.4629629629639,NA,15.2194444444417,NA,15.9500000000083,NA
08:20:00,32,-1.24062499999688,25.8125,-0.823913043473913,25.5217391304348,-2.30555555555556,26.5555555555556
08:25:00,9,-1.44444444444444,NA,-1.19047619048571,NA,-2.3333333333,NA
08:27:00,32,-8.13906249999688,NA,-7.72898550724348,NA,-9.18703703703333,NA
08:29:00,68,12.4438725490206,NA,12.3840425531894,NA,12.5777777777857,NA
08:33:00,68,2.89975490195735,49.8529411764706,3.00034722221667,47.9375,2.658333333335,54.45
08:37:00,36,13.2185185185139,NA,12.61805555555,NA,14.4194444444417,NA
08:39:00,32,9.68385416666875,NA,10.1369565217391,NA,8.52592592593333,NA
08:40:00,68,-4.01176470588382,NA,-3.91666666666667,NA,-4.240000000005,NA
08:42:00,66,15.5469696969697,NA,15.5432624113447,NA,15.5561403508842,NA
08:46:00,52,5.39455128204231,122.153846153846,4.80813953487674,121.767441860465,8.19629629627778,124
08:47:00,32,9.0072916666625,NA,9.38550724636957,NA,8.04074074074444,NA
08:52:00,66,16.6782828282864,NA,16.7368794326255,NA,16.5333333333421,NA
08:53:00,52,-1.507371794875,NA,-2.09573643411163,NA,1.3037037037,NA
08:55:00,119,12.6640056022361,120.072463768116,12.8373188405772,121.117647058824,12.0734567901111,117.111111111111
09:00:00,65,17.2382051282062,NA,17.378260869563,NA,16.8991228070263,NA
09:02:00,103,-3.39385113268932,150.705882352941,-3.34100877193158,150.28,-3.5425925926,151.888888888889
09:04:00,68,22.7534313725471,NA,22.496666666666,NA,23.4666666666611,NA
09:05:00,49,29.5921768707469,NA,28.7695833333275,NA,33.2481481481667,NA
09:09:00,103,1.91941747572233,82.5507246376812,2.07644444443733,83.64,1.49880952380714,79.6842105263158
09:11:00,34,14.7730392156824,NA,14.719999999996,NA,14.9203703703667,NA
09:13:00,49,29.468707482998,NA,28.758750000005,NA,32.6240740740778,NA
09:14:00,66,22.7792929292909,NA,22.7506944444396,NA,22.8555555555611,NA
09:16:00,175,0.544476190470857,90.9339622641509,0.573441734412195,89.6027397260274,0.475961538455769,93.8787878787879
09:18:00,69,17.4077294686029,NA,17.982333333334,NA,15.8956140351,NA
09:21:00,34,14.5166666666647,NA,14.716666666664,NA,13.9611111111111,NA
09:22:00,66,22.3467171717212,NA,22.2229166666688,NA,22.6768518518611,NA
09:23:00,106,-4.91069182390566,NA,-4.80502283105479,NA,-5.14444444445455,NA
09:25:00,106,17.8026729559745,NA,17.9509132420068,NA,17.4747474747515,NA
09:26:00,100,3.645666666672,64.76,3.85273972603151,64.2602739726027,3.08580246914444,66.1111111111111
09:28:00,69,16.9301932367145,NA,17.555999999998,NA,15.2833333333368,NA
09:29:00,33,13.3782828282909,NA,13.2937500000042,NA,13.6037037037222,NA
09:33:00,99,-3.24023569023939,NA,-3.02337962963472,NA,-3.81851851851852,NA
09:35:00,203,20.3229064039389,NA,20.5735431235392,NA,19.7255555555583,NA
09:36:00,206,5.88519417476165,50.7898550724638,5.91918859649342,48.2135922330097,5.78950617285,58.3714285714286
09:43:00,243,4.24410150891687,NA,3.86685714285543,NA,5.21495098039853,NA
09:45:00,231,21.1297979797965,NA,21.0818540433911,NA,21.2604838709661,NA
09:47:00,77,3.8867965367974,124.857142857143,3.9895480226,122.915254237288,3.55,131.222222222222
09:53:00,205,11.9141463414649,85.25,11.9066666666693,84.675,11.9345454545436,86.8928571428571
09:54:00,77,-2.9987012987026,NA,-2.89661016949322,NA,-3.33333333333333,NA
09:55:00,133,19.0166666666647,NA,18.8860544217673,NA,19.3823809523771,NA
09:56:00,75,21.2699999999973,NA,21.1675287356276,NA,21.6196078431412,NA
09:59:00,78,0.070726495725641,34.4102564102564,-0.357344632769492,37.9152542372881,1.4,23.5263157894737
10:00:00,108,-4.99320987654074,NA,-4.92833333333375,NA,-5.17857142856071,NA
10:02:00,106,17.9705974842774,NA,17.8050632911392,NA,18.4549382716074,NA
10:03:00,133,17.9893483709278,NA,17.8304421768714,NA,18.4342857142857,NA
10:05:00,62,3.90053763440968,29.7903225806452,4.42234848484773,30.1818181818182,2.62500000000556,28.8333333333333
10:06:00,152,6.17401315789276,NA,6.15227920227436,NA,6.24666666667429,NA
10:08:00,77,14.2980519480532,NA,13.8301724137948,NA,15.7263157894737,NA
10:12:00,168,9.35942460317143,NA,9.65934959349187,NA,8.53962962962889,NA
10:13:00,141,3.9646572104,25.5248226950355,3.95454545454242,24.3939393939394,3.98849206349286,28.1904761904762
