"Time","Num.Days","Avg.Var","Avg.Ridership","Avg.Var.Good.W","Avg.Ridership.Good.W","Avg.Var.Bad.W","Avg.Ridership.Bad.W"
07:25:00,16,6.0572916666625,33.875,6.03846153845385,33.7692307692308,6.1388888889,34.3333333333333
07:32:00,16,0.08020833331875,NA,0.0525641025538462,NA,0.199999999966667,NA
07:35:00,34,1.68333333332353,56.2647058823529,1.35256410255385,55.4615384615385,2.758333333325,58.875
07:39:00,16,7.50208333333125,NA,7.49487179486923,NA,7.53333333333333,NA
07:42:00,34,-4.38088235294706,NA,-4.71025641026154,NA,-3.310416666675,NA
07:49:00,33,2.4530303030303,NA,2.096,NA,3.56875,NA
07:50:00,58,5.88189655172414,41.3620689655172,5.89471544715366,41.9756097560976,5.85098039215882,39.8823529411765
07:57:00,57,0.0333333333368421,NA,0.030833333335,NA,0.0392156862823529,NA
08:00:00,115,1.18202898550696,8.94782608695652,1.149791666665,8.7875,1.25571428571714,9.31428571428571
08:04:00,57,7.31754385964737,NA,7.5520833333275,NA,6.76568627451765,NA
08:07:00,114,-4.81330409356754,NA,-4.84430379746962,NA,-4.74333333333143,NA
08:14:00,113,1.57020648967345,NA,1.83902953586076,NA,0.945588235297059,NA
08:15:00,58,5.86206896551897,11.6379310344828,5.8412500000025,12.25,5.90833333333333,10.2777777777778
08:22:00,58,-0.273563218393103,NA,-0.2875000000025,NA,-0.242592592594444,NA
08:25:00,114,1.34634502924211,26.5964912280702,1.39936708861013,25.4810126582278,1.22666666666857,29.1142857142857
08:29:00,58,4.22988505746724,NA,4.272499999995,NA,4.13518518518333,NA
08:32:00,114,-4.82061403509211,NA,-4.76413502110127,NA,-4.9480952381,NA
08:38:00,58,5.70057471265,54.4137931034483,5.71708333334,55.6,5.66388888889444,51.7777777777778
08:39:00,114,-1.44809941520526,NA,-1.6082278481,NA,-1.08666666667143,NA
08:45:00,58,-0.243678160915517,NA,-0.2216666666625,NA,-0.292592592588889,NA
08:47:00,114,1.40497076024035,63.2982456140351,1.47784810127215,64.0126582278481,1.24047619048286,61.6857142857143
08:52:00,58,3.40574712643793,NA,3.5087499999975,NA,3.17685185186111,NA
08:54:00,114,-4.49444444444298,NA,-4.41814345991392,NA,-4.66666666666571,NA
08:56:00,69,-0.455797101443478,54.0289855072464,-0.485555555553333,54.8444444444444,-0.3999999999875,52.5
09:01:00,113,-2.14823008849823,NA,-1.97236286920253,NA,-2.55686274509706,NA
09:03:00,68,-6.40686274509853,NA,-6.46742424242273,NA,-6.2958333333375,NA
09:05:00,74,3.87905405405541,56.6351351351351,4.048666666666,56.72,3.52569444445,56.4583333333333
09:10:00,64,-5.64401041667344,NA,-5.73809523810238,NA,-5.4643939394,NA
09:12:00,73,-1.82625570776027,NA,-1.57993197278367,NA,-2.32916666667083,NA
09:14:00,114,1.52280701754211,64.359649122807,1.71033755274177,64.2911392405063,1.09952380952,64.5142857142857
09:19:00,71,0.330985915485916,NA,0.59113475176383,NA,-0.178472222225,NA
09:21:00,114,-4.06067251461754,NA,-3.79219409282152,NA,-4.66666666667143,NA
09:28:00,171,0.216276803114035,29.8620689655172,0.406862745090756,29.0243902439024,-0.219871794871154,31.8823529411765
09:35:00,58,-0.766666666658621,NA,-0.985772357712195,NA,-0.238235294117647,NA
09:37:00,111,1.24489489489459,33.5945945945946,1.19458874458571,34.3506493506493,1.35882352941765,31.8823529411765
09:42:00,58,-0.806896551727586,NA,-1.26504065040976,NA,0.298039215682353,NA
09:44:00,111,-4.7006006005973,NA,-4.75562770561948,NA,-4.57598039216471,NA
09:46:00,110,1.81121212121,58.8909090909091,1.75044444444267,58.3733333333333,1.94142857142571,60
09:51:00,111,-4.24894894895315,NA,-4.39545454546104,NA,-3.91715686274412,NA
09:53:00,110,-4.19454545454455,NA,-4.22822222221733,NA,-4.12238095238857,NA
09:55:00,112,1.47872023809464,52.0982142857143,1.57164502164545,53.1428571428571,1.27428571428286,49.8
10:00:00,109,-3.41314984709908,NA,-3.40066666667067,NA,-3.44068627451471,NA
10:02:00,112,-4.28973214285446,NA,-4.16948051947792,NA,-4.55428571428286,NA
10:04:00,114,1.27353801169561,18.1666666666667,1.33755274261519,17.9493670886076,1.12904761904857,18.6571428571429
10:09:00,109,-3.71055045871651,NA,-3.67324561403289,NA,-3.79646464647273,NA
10:11:00,114,-4.45599415204737,NA,-4.37552742616076,NA,-4.63761904762,NA
10:13:00,113,1.21194690265221,14.2300884955752,1.18183760683333,14.2948717948718,1.27904761904857,14.0857142857143
10:18:00,112,-4.0921130952375,NA,-4.02970085470256,NA,-4.23529411764118,NA
10:20:00,113,-4.81740412979557,NA,-4.84679487179487,NA,-4.75190476191143,NA
10:22:00,108,1.16234567901389,17.4351851851852,1.168666666668,16.4133333333333,1.14797979798182,19.7575757575758
10:27:00,112,-4.97514880952411,NA,-5.00281385281688,NA,-4.91428571428,NA
10:29:00,108,-4.90586419753426,NA,-4.919111111116,NA,-4.87575757575758,NA
10:31:00,110,1.28227272727545,27.6272727272727,1.15460526316053,28.1052631578947,1.56764705882647,26.5588235294118
10:36:00,107,-5.11448598131121,NA,-5.14797297297568,NA,-5.03939393939697,NA
10:38:00,110,-4.71257575758,NA,-4.85263157895395,NA,-4.39950980392059,NA
10:40:00,120,1.6822222222225,73.375,1.71382113821098,73.6707317073171,1.61403508772105,72.7368421052632
10:45:00,108,-4.81172839506574,NA,-5.04099099099459,NA,-4.31274509804412,NA
10:47:00,120,-4.25138888889167,NA,-4.22662601626342,NA,-4.30482456140526,NA
