"Time","Num.Days","Avg.Var","Avg.Ridership","Avg.Var.Good.W","Avg.Ridership.Good.W","Avg.Var.Bad.W","Avg.Ridership.Bad.W"
07:30:00,54,1.25154320987407,64.8888888888889,1.2699999999975,67.475,1.19880952380714,57.5
07:36:00,54,1.85895061728704,NA,1.9258333333375,NA,1.66785714285714,NA
07:40:00,108,1.988425925925,79.8571428571429,2.01623376623247,81.8461538461538,1.91935483870968,75.2941176470588
07:46:00,56,2.34553571428571,NA,2.2743589743641,NA,2.5088235294,NA
07:49:00,50,4.096333333332,NA,4.22129629629444,NA,3.775,NA
07:50:00,54,2.30493827160556,NA,2.23018018018378,NA,2.46764705881765,NA
07:55:00,118,4.14067796610254,11.2615384615385,4.18408239700337,11.58,4.00747126437241,10.2
07:59:00,54,2.22253086419815,NA,2.10810810811081,NA,2.47156862744706,NA
08:01:00,64,3.53072916666406,NA,3.45170068026939,NA,3.78888888888667,NA
08:05:00,117,1.97222222222222,NA,1.90196078431529,NA,2.1588541666625,NA
08:11:00,58,2.16264367815862,10.4827586206897,2.25406504064634,10.5121951219512,1.94215686274706,10.4117647058824
08:14:00,58,3.69971264368103,NA,3.56860465116744,NA,4.07555555555333,NA
08:17:00,57,0.767543859645614,NA,0.8020833333275,NA,0.686274509805882,NA
08:20:00,61,2.5909836065623,NA,2.46739130435217,NA,2.97000000000667,NA
08:21:00,55,-0.194242424247273,NA,-0.214473684218421,NA,-0.149019607841176,NA
08:28:00,57,2.00555555555789,26.6315789473684,1.9187499999975,26.6,2.20980392158235,26.7058823529412
08:30:00,54,-0.906790123457407,NA,-1.16306306306216,NA,-0.349019607847059,NA
08:34:00,57,1.50964912280702,NA,1.3908333333325,NA,1.78921568627647,NA
08:36:00,56,-2.65446428572143,NA,-3.02307692307949,NA,-1.80882352942941,NA
08:38:00,54,1.24382716049259,NA,1.10675675675676,NA,1.54215686274118,NA
08:43:00,106,4.5998427672934,72.5377358490566,4.62844444444267,72.3466666666667,4.5306451612871,73
08:47:00,54,2.24845679012407,NA,2.17882882882973,NA,2.4,NA
